Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
23492851,"Epic Survival: Extreme Adventure, Stone Age Wisdom, and Lessons in Living From a Modern Hunter-Gatherer",Matt Graham,"Graham, Matt",Josh Young,"=""1476794650""","=""9781476794655""",0,3.61,Gallery Books,Hardcover,304,2015,2015,,2017/08/31,"suggestions-inbox, travel, survival","suggestions-inbox (#42), travel (#2), survival (#1)",suggestions-inbox,,,,0,,,0,,,,,
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""1400067553""","=""9781400067558""",0,3.98,Random House,Hardcover,256,2012,2012,,2017/09/10,"suggestions-inbox, psychology, sociology","suggestions-inbox (#46), psychology (#29), sociology (#10)",suggestions-inbox,,,,0,,,0,,,,,
34994766,History of a Disappearance: The Story of a Forgotten Polish Town,Filip Springer,"Springer, Filip",Sean Gasper Bye,"=""""","=""""",0,4.25,Restless Books,Kindle Edition,321,2017,2011,,2017/09/19,"suggestions-inbox, entertaining-history","suggestions-inbox (#48), entertaining-history (#9)",suggestions-inbox,,,,0,,,0,,,,,
31945192,The Invented Part,Rodrigo Fresán,"Fresán, Rodrigo",Will Vanderhyden,"=""1940953561""","=""9781940953564""",0,3.98,Open Letter,Paperback,552,2017,2014,,2017/09/19,"novel, literature, to-read","novel (#6), literature (#7), to-read (#2)",to-read,,,,0,,,0,,,,,
82121,The Friends of Eddie Coyle,George V. Higgins,"Higgins, George V.",,"=""1841192627""","=""9781841192628""",0,4.05,Robinson ,Paperback,216,2001,1970,,2017/10/30,"suggestions-inbox, novel","suggestions-inbox (#56), novel (#5)",suggestions-inbox,,,,0,,,0,,,,,
417157,Egalia's Daughters: A Satire of the Sexes,Gerd Brantenberg,"Brantenberg, Gerd",Louis MacKay,"=""1878067583""","=""9781878067586""",0,3.95,Seal Press,Paperback,272,1995,1977,,2017/11/17,"suggestions-inbox, psychology, sociology","suggestions-inbox (#57), psychology (#28), sociology (#9)",suggestions-inbox,,,,0,,,0,,,,,
28962939,Literary Wonderlands: A Journey Through the Greatest Fictional Worlds Ever Created,Laura Miller,"Miller, Laura","Lev Grossman, John Sutherland, Tom Shippery, John Clute, Mary Hamilton, Kat Howard, Mahvesh Murad, Abigail Nussbaum, Laurie Penny, Adam Roberts, Jared Shurin, James Smythe, Lisa Tuttle","=""0316316385""","=""9780316316385""",0,3.56,Black Dog & Leventhal,Hardcover,320,2016,2016,,2017/11/17,"suggestions-inbox, entertaining-history","suggestions-inbox (#58), entertaining-history (#8)",suggestions-inbox,,,,0,,,0,,,,,
636223,Ice,Anna Kavan,"Kavan, Anna",,"=""0720612683""","=""9780720612684""",0,3.74,Peter Owen Publishers,Paperback,158,2016,1967,,2017/12/06,"suggestions-inbox, novel, scifi","suggestions-inbox (#60), novel (#3), scifi (#5)",suggestions-inbox,,,,0,,,0,,,,,
23168277,The Sympathizer,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",0,4.00,Grove Press,Hardcover,371,2015,2015,,2017/12/09,"suggestions-inbox, sociology, entertaining-history","suggestions-inbox (#61), sociology (#8), entertaining-history (#7)",suggestions-inbox,,,,0,,,0,,,,,
70156,Patterns of Enterprise Application Architecture,Martin Fowler,"Fowler, Martin","David Rice, Matthew Foemmel, Edward Hieatt, Robert Mee, Randy Stafford","=""0321127420""","=""9780321127426""",0,4.11,Addison-Wesley Professional,Hardcover,533,2002,2002,,2018/01/03,"suggestions-inbox, tech","suggestions-inbox (#63), tech (#38)",suggestions-inbox,,,,0,,,0,,,,,
6709076,Game Engine Architecture,Jason Gregory,"Gregory, Jason",,"=""1568814135""","=""9781568814131""",0,4.33,A K PETERS,Hardcover,860,2009,2009,,2018/02/10,"suggestions-inbox, tech","suggestions-inbox (#64), tech (#37)",suggestions-inbox,,,,0,,,0,,,,,
22822839,The Thrilling Adventures of Lovelace and Babbage,Sydney Padua,"Padua, Sydney",,"=""0307908275""","=""9780307908278""",0,4.05,Pantheon,Hardcover,317,2015,2015,,2018/02/10,"suggestions-inbox, entertaining-history","suggestions-inbox (#65), entertaining-history (#6)",suggestions-inbox,,,,0,,,0,,,,,
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.87,"Oxford University Press, USA",Hardcover,328,2014,2014,,2018/02/10,"suggestions-inbox, psychology, sociology, tech","suggestions-inbox (#66), psychology (#27), sociology (#7), tech (#36)",suggestions-inbox,,,,0,,,0,,,,,
134218,Home: A Short History of an Idea,Witold Rybczynski,"Rybczynski, Witold",,"=""0140102310""","=""9780140102314""",0,3.94,Penguin Books,Paperback,272,1987,1986,,2018/02/23,"suggestions-inbox, entertaining-history","suggestions-inbox (#67), entertaining-history (#4)",suggestions-inbox,,,,0,,,0,,,,,
17332243,Hild,Nicola Griffith,"Griffith, Nicola",,"=""0374280878""","=""9780374280871""",0,3.78,"Farrar, Straus and Giroux",Hardcover,546,2013,2013,,2018/02/23,"entertaining-history, to-read","entertaining-history (#3), to-read (#1)",to-read,,,,0,,,0,,,,,
17333324,Ancillary Justice (Imperial Radch #1),Ann Leckie,"Leckie, Ann",,"=""031624662X""","=""9780316246620""",0,3.98,Orbit,Paperback,386,2013,2013,,2018/02/23,"suggestions-inbox, scifi","suggestions-inbox (#68), scifi (#3)",suggestions-inbox,,,,0,,,0,,,,,
175530,Game Theory for Applied Economists,Robert Gibbons,"Gibbons, Robert",,"=""0691003955""","=""9780691003955""",0,3.87,Princeton University Press,Paperback,288,1992,1992,,2018/03/02,"suggestions-inbox, psychology, sociology","suggestions-inbox (#69), psychology (#24), sociology (#5)",suggestions-inbox,,,,0,,,0,,,,,
4455826,The Science Of Musical Sound,John Robinson Pierce,"Pierce, John Robinson",,"=""0716760053""","=""9780716760054""",0,3.74,W.H. Freeman & Company,Paperback,270,1992,1983,,2018/03/04,"signals-processing, suggestions-inbox, tech","signals-processing (#1), suggestions-inbox (#70), tech (#35)",suggestions-inbox,,,,0,,,0,,,,,
433443,"An Introduction to Information Theory: Symbols, Signals and Noise",John Robinson Pierce,"Pierce, John Robinson",,"=""0486240614""","=""9780486240619""",0,3.92,Dover Publications,Paperback,306,1980,1961,,2018/03/04,"signals-processing, suggestions-inbox, tech","signals-processing (#2), suggestions-inbox (#71), tech (#34)",suggestions-inbox,,,,0,,,0,,,,,
1126667,Constructing Robot Bases,Gordon McComb,"McComb, Gordon",,"=""0071408525""","=""9780071408523""",0,4.00,McGraw-Hill Companies,Paperback,372,2003,2003,,2018/03/10,"suggestions-inbox, tech","suggestions-inbox (#72), tech (#33)",suggestions-inbox,,,,0,,,0,,,,,
18236870,The Elements of Mechanics,Giovanni Gallavotti,"Gallavotti, Giovanni",,"=""3662007339""","=""9783662007334""",0,0.0,Springer,Paperback,575,2013,1983,,2018/03/10,"suggestions-inbox, tech","suggestions-inbox (#73), tech (#32)",suggestions-inbox,,,,0,,,0,,,,,
6516181,"Mechanisms, Linkages and Mechanical Controls",N. Chironis,"Chironis, N.",,"=""0070107750""","=""9780070107755""",0,5.00,Mcgraw-Hill (Tx),Hardcover,355,1965,1965,,2018/03/10,"suggestions-inbox, tech","suggestions-inbox (#74), tech (#31)",suggestions-inbox,,,,0,,,0,,,,,
20659468,Cabaret Mechanical Movement: Understanding Movement and Making Automata,Gary Alexander,"Alexander, Gary",Aidan Lawrence Onn,"=""""","=""""",0,4.26,Cabaret Mechanical Theatre,Kindle Edition,156,2013,2013,,2018/03/10,"suggestions-inbox, tech","suggestions-inbox (#76), tech (#29)",suggestions-inbox,,,,0,,,0,,,,,
1072531,The Naked Communist,W. Cleon Skousen,"Skousen, W. Cleon",,"=""1568493673""","=""9781568493671""",0,4.26,Buccaneer Books,Hardcover,408,2003,1960,,2018/03/11,"suggestions-inbox, sociology","suggestions-inbox (#77), sociology (#4)",suggestions-inbox,,,,0,,,0,,,,,
